AA,Antarctic
AC,Arctic
AE,South­East Asia
AF,Africa
AM,Central Africa
AO,West Africa
AP,Southern Africa
AS,Asia
AW,Near East
AX,Arabian Sea area
BQ,Baltic Sea area
CA,Caribbean and Central America
EA,East Africa
EC,East China Sea area
EE,Eastern Europe
EM,Middle Europe
EN,Northern Europe
EU,Europe
EW,Western Europe
FE,Far East
GA,Gulf of Alaska area
GX,Gulf of Mexico area
IO,Indian Ocean area
ME,Eastern Mediterranean area
MM,Mediterranean area
MP,Central Mediterranean area
MQ,Western Mediterranean area
NA,North America
NT,North Atlantic area
OC,Oceania
OH,Sea of Okhotsk
PA,Pacific area
PE,Persian Gulf area
PN,North Pacific area
PQ,Western North Pacific
PS,South Pacific area
PW,Western Pacific area
PZ,Eastern Pacific area
SA,South America
SE,Southern Ocean area
SJ,Sea of Japan area
SS,South China Sea area
ST,South Atlantic area
XE,Eastern hemisphere
XN,Northern hemisphere
XS,Southern hemisphere
XT,Tropical belt
XW,Western hemisphere
XX,For use when other designators are
"",not appropriate
